Acute,Anterior Leg/Upper Thigh,Posterior Leg,Lateral Leg,Bathroom Trouble,Output
0,0,0,0,0,Localized back pain
0,0,0,0,1,potential cauda equina syndrome. Consider seeking immediate medical attention
0,0,0,1,0,potential sciatic nerve root obstruction/irritation
0,0,0,1,1,potential sciatic nerve root obstruction/irritation as well as potential cauda equina syndrome. Consider seeking immediate medical attention
0,0,1,0,0,potential S1-S5 nerve root obstruction/irritation
0,0,1,0,1,potential S1-S5 nerve root obstruction/irritation as well as potential cauda equina syndrome. Consider seeking immediate medical attention
0,0,1,1,0,potential S1-S5 and sciatic nerve root obscturction/irritation
0,0,1,1,1,potential sciatic nerve root and S1-S5 obstructon/irritation as well as potential cauda equina syndrome. Consider seeking immediate medical attention
0,1,0,0,0,potential femoral nerve root obstruction
0,1,0,0,1,potential femoral nerve root obstruction as potential cauda equina syndrome. Consider seeking immediate medical attention
0,1,0,1,0,potential femoral and sciatic nerve root obstruction/irritation
0,1,0,1,1,potential femoral/sciatic neve root obstruction/irritation as well as potential cauda equina syndrome. Consider seeking immediate medical attention
0,1,1,0,0,potential femoral and S1-S5 nerve root obstruction/irritation
0,1,1,0,1,potential femoral and S1-S5 nerve root obstruction/irritation as well as potential cauda equina syndrome. Consider seeking immediate medical attention
0,1,1,1,0,"potential femoral, sciatic and S1-S5 nerve root obstruction/irritation"
0,1,1,1,1,potential femoral/sciatic neve root/S1-S5 obstruction/irritation as well as potential cauda equina syndrome. Consider seeking immediate medical attention
1,0,0,0,0,localized acute back pain 
1,0,0,0,1,Acute trauma with potential cuada equina syndrome. Please seek immediate medical attention.
1,0,0,1,0,Acute trauma with potential sciatic nerve obstruction/irritation
1,0,0,1,1,Acute trauma with potential sciatic nerve root obstruction/irritation as well as potential cauda equina syndrome. Consider seeking immediate medical attention
1,0,1,0,0,Acute trauma with potential S1-S5 nerve root obstruction/irritation
1,0,1,0,1,Acute trauma with potential S1-S5 nerve root obstruction/irritation as well as potential cauda equina syndrome. Consider seeking immediate medical attention
1,0,1,1,0,Acute trauma with potential sciatic and S1-S5 nerve root obstruction/irritation 
1,0,1,1,1,Acute trauma potential sciatic neve root/S1-S5 obstruction/irritation as well as potential cauda equina syndrome. Consider seeking immediate medical attention
1,1,0,0,0,Actue trauma with potential femoral nerve root obstruction/irritation
1,1,0,0,1,Actue trauma with potential femoral nerve root obstruction/irritation  as well as potential cauda equina syndrome. Consider seeking immediate medical attention
1,1,0,1,0,Actue trauma with potential femoral and sciatic nerve root obstruction/irritation  as well as potential cauda equina syndrome. Consider seeking immediate medical attention
1,1,0,1,1,Acute potential femoral/sciatic neve root obstruction/irritation as well as potential cauda equina syndrome. Consider seeking immediate medical attention
1,1,1,0,0,Actue trauma with potential femoral and S1-S5 nerve root obstruction/irritation 
1,1,1,0,1,Actue trauma with potential femoral and S1-S5 nerve root obstruction/irritation  as well as potential cauda equina syndrome. Consider seeking immediate medical attention
1,1,1,1,0,"Actue trauma with potential sciatic, femoral and S1-S5 nerve root obstruction/irritation  "
1,1,1,1,1,Acute trauma. Please seek immediate medical attention.
